original,estandarizado
CULIACAN SIN,CULIACAN
CULICAN SIN,CULIACAN
CULIACAN SIN.,CULIACAN
CULIACANL,CULIACAN
CULIACAM,CULIACAN
NAVOLATO,NAVOLATO
NAVOLATO SIN,NAVOLATO
GUASAVE,GUASAVE
GUAMUCHIL,GUAMUCHIL
GUAMUCHI¥,GUAMUCHIL
ELDORADO,EL DORADO
EL DORADO,ELDORADO
SALVADOR ALVARA,SALVADOR ALVARADO
SALVADOR,SALVADOR ALVARADO
SINALOA DE LEYV,SINALOA DE LEYVA
SIN DE LEYVA,SINALOA DE LEYVA
SIND E ZAPATA,SINALOA DE ZAPATA
MAZATLAN,MAZATLAN
ESCUINAPA,ESCUINAPA
AGR INDEPENDEN,AGRICOLA INDEPENDENCIA
AGR INDEPENDENCIA,AGRICOLA INDEPENDENCIA
AGRIC INDEPENDENCIA,AGRICOLA INDEPENDENCIA
AGRICOLA,AGRICOLA INDEPENDENCIA
AGRICOLA INDEPEN AN,AGRICOLA INDEPENDENCIA
AGRICOLA MEXICO,AGRICOLA INDEPENDENCIA
AGRICOLAANGOST,AGRICOLA INDEPENDENCIA
AGUA,AGUARUTO
AGUARUTO CLN,AGUARUTO
AGUARUTOCLN,AGUARUTO
AGUARUTOCULIAC,AGUARUTO
AGUAVERDEROSAR,AGUA VERDE
AGUSTINA,AGUSTINA RAMIREZ
AGUTCULIACAN,AGUSTINA RAMIREZ
AL,ALAMOS
ALTATA NAV,ALTATA
ALTATANAVSIN,ALTATA
ANGASTURA,ANGOSTURA
ANGOSTTURA,ANGOSTURA
ANGOSTURA SIN,ANGOSTURA
ANGOSTURASIN,ANGOSTURA
BACHIGUALATILLO,BACHIGUALATO
BACHIGUALATITO,BACHIGUALATO
BARICUETO NAV,BARICUETO
BATURI ANGOSTU,BATURY
BCALIFNTE,BAJA CALIFORNIA
BELLA VISTA,BELLAVISTA
CAIMANERO MOC,CAIMANERO
CAIMANEROMOCOR,CAIMANERO
CAMPO BALBNAV,CAMPO BALBUENA
CAMP,CAMPO EL DIEZ
CAMPO,CAMPO EL DIEZ
CAMPO 10,CAMPO EL DIEZ
CAMPO EL 10 CLN,CAMPO EL DIEZ
CAPOMOS,CAMPO EL DIEZ
CARRETCOSTA R,CARRET COSTA
CARRETLA VUELT,CARRET COSTA
CAULICAN,CULIACAN
CHOIX SIN,CHOIX
CILIACAN,CULIACAN
CLIACAN,CULIACAN
COFRADIA NAV,COFRADIA
COFRDE LA LOMA,COFRADIA
COL,COLONIA SINALOA
COL SINALOA,COLONIA SINALOA
COSALA SIN,COSALA
COSALASIN,COSALA
COSTA,COSTA AZUL
COSTA CULIACAN,COSTA AZUL
COSTA RICA CLN,COSTA RICA
COSTA RICA CUL,COSTA RICA
COSTA RICA SIN,COSTA RICA
COSTA RICA SINALOA,COSTA RICA
COSTA RICACLN,COSTA RICA
COSTARICA,COSTA RICA
COSTARICACULIACAN,COSTA RICA
COSTARRICA,COSTA RICA
COSTA RICA CULIACAN,COSTA RICA
CUALIACAN,CULIACAN
CUALICAN SIN,CULIACAN
CUBIRI DE LA CUESTA,CUBIRIL
CUCLIACAN,CULIACAN
CUIACAN,CULIACAN
CUJLIACAN,CULIACAN
CULIAAN,CULIACAN
CULIACA SIN,CULIACAN
CULIACAN,CULIACAN
CULIACAN  SIN,CULIACAN
CULIACAN  SINALOA,CULIACAN
CULIACAN EL DORADO,EL DORADO
CULIACAN SINALOA,CULIACAN
CULIACAN-CULIACANCITO,CULIACAN
CULIACANCITO CL,CULIACANCITO
CULIACANIO,CULIACANCITO
CULIACANLEYVA,CULIACAN
CULIACANN,CULIACAN
CULIACANSIN,CULICACAN
CULIACANSINALOA,CULICACAN
CULIACCAN,CULICACAN
CULIACIAN,CULICACAN
CULIACNA SIN,CULICACAN
CULIACÁN,CULICACAN
CULICAN,CULICACAN
CULICANSIN,CULICACAN
CULILACAN,CULICACAN
CULLIACAN,CULICACAN
CUOLIACAN,CULICACAN
DAUTILLOS NAV,DAUTILLOS
EJBACHIGUALATITO,BACHIGUALATITO
EJPORTUGUEZ GV,EJIDO PORTUGUEZ
EL DORADO  CULIACAN,EL DORADO
EL DORADO CLN,EL DORADO
EL ROSARIO SIN,EL ROSARIO
EL ROSARIO SINALOA,EL ROSARIO
EL SALADO CLN,EL SALADO
EL SALADO ELOTA,EL SALADO
EL TAMARINDOC,EL TAMARINDO
EL TIGRENAVOLA,EL TIGRE
EL VALLE MOC,EL VALLE
ELDOARADOCLN,EL DORADO
ELDORADO CLN,EL DORADO
ELDORADOCLN,EL DORADO
ELDORADOCULIAC,EL DORADO
ELOTA SIN,ELOTA
ELOTASINALOA,ELOTA
ESCUINAPA SIN,ESCUINAPA
EST,EST BAMOA
EST BAMOA GVE,EST BAMOA
EST BAMOAGVE,EST BAMOA
EST OBISPO CLN,EST OBISPO
GASAVE,GUASAVE
GHFHGFH,GUAMUCHIL
GUAMICHIL,GUAMUCHIL
GUAMUCHIL SA,GUAMUCHIL
GUAMUCHIL SAL,GUAMUCHIL
GUAMUCHIL SIN,GUAMUCHIL
GUAMUCHILERA,GUAMUCHIL
GUAMUCHILSALV,GUAMUCHIL
GUAMUCHILSIN,GUAMUCHIL
GUASAVE SIN,GUASAVE
GUASAVESIN,GUASAVE
GUASAVESINALOA,GUASAVE
GUMUCHIL,GUAMUCHIL
JMGHJG,JUAN ALDAMA EL TIGRE
JUAN ALDAMA,JUAN ALDAMA EL TIGRE
JUAN,JUAN ALDAMA EL TIGRE
LA CRUZ ELOTA,LA CRUZ DE ELOTA
LA CRUZ DE ELOT,LA CRUZ DE ELOTA
LA CRUZ,LA CRUZ DE ELOTA
LA CRUZ SIN,LA CRUZ DE ELOTA
LA CRUZELOTA,LA CRUZ DE ELOTA
LA ESCALERA GVE,LA ESCALERA
LA FLORIDA SIN,LA FLORIDA
LA LIMA CLN,LA LIMA
LA PALMA ANG,LA PALMA
LA PALMA NAVOLA,LA PALMA
LA REFORMA ANG,LA REFORMA
LA TRINIDAD GVE,LA TRINIDAD
LAS MORASGVE,LAS MORAS
LIMON DE LOS RA,LIMON DE LOS RAMOS
LOS,LOS MOCHIS
VILLAJUARES,VILLAJUAREZ
VILLA JUAREZN,VILLAJUAREZ
VBJUAREZ SAL,VILLAJUAREZ
VILLA JUAREZC,VILLAJUAREZ
VILLA JUAREZCL,VILLAJUAREZ
VILLA JUAREZ,VILLAJUAREZ
VILLA JNAVOLAT,VILLAJUAREZ
VJUAREZ  NAV,VILLAJUAREZ
VJUAREZ NAV,VILLAJUAREZ
VJUAREZ NAVSI,VILLAJUAREZ
VILLAMOROS,VILLAMOROS
VILLLA,VILLAMOROS
VILLA JUAREZ NA,VILLAJUAREZ
YEBAVITO,YEBAVITO
V ANGEL FLORES,VILLA ANGEL FLORES
V ANGEL FNAV,VILLA ANGEL FLORES
VAFLA,VILLA ANGEL FLORES
VAFLORES NAV,VILLA ANGEL FLORES
VAFLORES NAVO,VILLA ANGEL FLORES
VANGEL F NAV,VILLA ANGEL FLORES
VILLA A FLORES,VILLA ANGEL FLORES
VILLA ADOLFO L M,VILLA ADOLFO LOPEZ MATEOS
TOPOLOBAMPO,TOPOLOBAMPO
TOPIA,TOPIA
TIJUANAN,TIJUANA
TERAHUITO,TERAHUITO
TEPIC,TEPIC
TECOMATE,TECOMATE
TEACAPAN,TEACAPAN
TAMAZULA DGO,TAMAZULA DURANGO
TAMAZULA,TAMAZULA DURANGO
TAMARINDOCLN,TAMARINDO
SIND,SINALOA DE LEYVA
SINALOA,SINALOA DE LEYVA
SIND DE BAILA,SINALOA DE LEYVA
SINDE LEYVA,SINALOA DE LEYVA
SATAYA NAV,SATAYANAVOLATO
SAN RAFAEL GVE,SAN RAFAEL
SAN PEDRONAV,SAN PEDRO
SAN JOSE DEL CABO,SAN JOSE DEL CABO
SAN JOSE DE GUAYPARIME,SAN JOSE DE GUAYPARIME
SAN IGNACIO,SAN IGNACIO
SAN BLAS,SAN BLAS
SAN ANTONIO,SAN ANTONIO
SALVALVARADO,SALVADOR ALVARADO
SALVADOR ALVAR,SALVADOR ALVARADO
SALVADOR ALV,SALVADOR ALVARADO
SALV ALVARADO,SALVADOR ALVARADO
SALV,SALVADOR ALVARADO
RUIZ,RUIZ
ROSARIO,ROSARIO SINALOA
RINCON DE LOS MONZON,RINCON DE LOS MONZON
RECOVECO,RECOVECO
REALITO SATAYA,REALITO SATAYA
QUILA CLN,QUILA
QUILA CLN SIN,QUILA
QUILA CULIACAN,QUILA
QUILA SIN,QUILA
QUILACULIACAN,QUILA
POTRERILLOS,POTRERILLOS DEL NORO
GVE,PITAYAL
PERICO,PERICOS
PERICOS CLN,PERICOS
PERICOS MOC,PERICOS
PERICOS SIN,PERICOS
PERICOSMOCORIT,PERICOS
PERICOSMOCSIN,PERICOS
OERICOS MOCORIT,PERICOS
PERICOSSIN,PERICOS
PDE GALVEZ GVE,PORTUGUEZ DE GALVEZ
PALOS,PALMITAS
PALMARITO,PALMITAS
PALMAR,PALMITAS
OTAMETO,OTAMETO
OSTA RICA CLN,COSTA RICA
NIO GVE,NIEBLAS
NAVOLATO  SINALOA,NAVOLATO
NAVOLATOCLNS,NAVOLATO
NAVOLATOSIN,NAVOLATO
MOCORITO SIN,MOCORITO
MOC,MOCORITO
MELCHOR OCAMPO,MELCHOR OCAMPO
MAZATLAN  SINALOA,MAZATLAN
MAZATLAN SIN,MAZATLAN
MAZATLANSIN,MAZATLAN
MAXIMILIANO R LOPEZ,MAXIMILIANO R LOPEZ
MAQUIPOSINALOA,MAQUIPO
MALPICACONCORD,MALPICA
CULAICAN,CULIACAN
CUL,CULIACAN
CULIACA,CULIACAN
CULIANCA SIN,CULIACAN
CULIANCAN,CULIACAN
CULICACAN,CULIACAN
VILLA ANGEL F,VILLA ANGEL FLORES
VILLA AFNAV,VILLA ANGEL FLORES
VILLA AFLORES,VILLA ANGEL FLORES
VILLA ANGEL FN,VILLA ANGEL FLORES
V JUAREZ NAV,VILLA JUAREZ
VILLAJUAREZ,VILLA JUAREZ
V,VILLA
CULIACANA,CULIACAN
CULIACAN|,CULIACAN
